ticker,days vs spy,alpha vs spy,beta vs spy,days vs vgt,alpha vs vgt,beta vs vgt
RXD,1825,-0.19669064462504088,-1.4101038003028998,1825,-0.18347020908222222,-0.9309304458714326
RXI,1825,-0.005673195330083673,0.9724079892012383,1825,-0.02904826427253497,0.6922060923571789
RXL,1825,0.08241783825733269,1.88779435089093,1825,0.05800413788936394,1.2699527970336204
RYE,1825,-0.24843358443410185,1.2006481194176901,1825,-0.24707251817779596,0.7481945981065385
RYF,1825,-0.00011919331724193595,1.0290807708523582,1825,-0.004486261050237725,0.6607775922007455
RYH,1825,0.05921788199054578,0.9614369734030095,1825,0.04189623301806352,0.663997536293855
RYJ,1825,-0.0247348364589003,1.0564526772622214,1825,-0.050006964986941904,0.7515988906531641
RYT,1825,0.08622182958679309,1.1640368611600498,1825,0.02353192765291413,0.9509048973478988
RYU,1825,0.05133103019784029,0.46147774469826797,1825,0.06341155264420512,0.24685376774676893
RZG,1825,-0.015764478622956855,1.101457568565639,1825,-0.050752789199345894,0.814056924827224
RZV,1825,-0.07921082955676596,1.1080882690560032,1825,-0.09701455832789355,0.7576688486256087
SAA,1825,0.061561445884825046,1.6713755595964555,1825,0.0275967476860759,1.1678761940028006
SAGG,1825,-0.04226309905021621,0.02782011074535162,1825,-0.04167447455767523,0.015373561279523315
SBB,1825,-0.049443415340413625,-0.8250000338909389,1825,-0.031141681448519355,-0.5818838415885597
SBM,1825,0.00495724755888969,-0.6614596114841794,1825,0.016494018793325137,-0.4554839442793447
SBV,1825,298.65995731198745,-71.93552875109164,1825,321.3990949357753,-125.23152104190008
SCC,1825,-0.22552927305532122,-1.2586043215283989,1825,-0.195954875010685,-0.8935371095076707
SCHA,1825,-0.02608544113830276,1.0408416858551324,1825,-0.05272465249329987,0.7466250619033756
SCHB,1825,0.0008391174774578611,0.9887275031624287,1825,-0.022825544792804898,0.7034612501405186
SCHC,1825,-0.07806335050436386,0.8006237078327105,1825,-0.09531957054817562,0.5629124907681458
SCHD,1825,-0.0007151159234858802,0.8617641988887806,1825,-0.012013985449624346,0.5802673634942108
SCHE,1825,-0.14220907102926783,1.010937888035743,1825,-0.1690504883071555,0.7285832392009808
SCHF,1825,-0.0921300137781173,0.8724318824045458,1825,-0.10714510808405588,0.600051030026522
SCHG,1825,0.03639080151193211,1.0452422083754753,1825,-0.0008714552159945841,0.7868131019989673
SCHH,1825,-0.00855194370639731,0.624579502613291,1825,-0.0047947678314513124,0.3784692186707719
SCHM,1825,-0.0018613005543575351,0.9925394880853777,1825,-0.023312126611932407,0.6980519254983026
SCHO,1825,0.004449647060781114,-0.02170902800113006,1825,0.005004755302422066,-0.015570697879601105
SCHP,1825,0.008633016571635179,-0.06044453274453967,1825,0.010332566579908853,-0.04389600378889362
SCHR,1825,0.02313703249573101,-0.092371545319156,1825,0.024845177675073403,-0.06394940841704674
SCHV,1825,-0.026144574048917266,0.9110310514393144,1825,-0.03517722298185063,0.6031806285268748
